,,,,,,,,,,,,,,,,,,,,,,
,,=Report!A8,=Report!A10,,,,,,,,,,,=O16*0.893,,=Q16*0.4365*0.893,,,=T16*0.893*0.8301,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
,Table 3.3,Crop,Potential yield 4,Common yield,Yield used ,Yield Expected,Typical yield range,N,P,K,Ca,Mg,S,Fertilizer-N recom.,,Fertilizer-P2O5 recom.,,,Fertilizer-K2O recom.,,,
Select,,Select,kg/ha,kg/ha,kg/ha,,kg/ha,-----------------------kg/t fw------------------,,,,,,Low,High,Low,Med,High,Low,Med,High,
Avocado,1,Plantain,43605.3333333333,33688,30000,"=IF($C$2=C6,$D$2,0)","30,555 to 36,821",2.58687733021101,0.328579982813157,7.71925297163765,0.310321603211461,0.428308365685635,,"=IF(G6=0,(VLOOKUP(C6,'Crop List'!$B$4:$L$34,3,FALSE)*(F6/1000)*I6),(VLOOKUP(C6,'Crop List'!$B$4:$L$34,3,FALSE)*(G6/1000)*I6))","=IF(G6=0,(VLOOKUP(C6,'Crop List'!$B$4:$L$34,9,FALSE)*(F6/1000)*I6),(VLOOKUP(C6,'Crop List'!$B$4:$L$34,9,FALSE)*(G6/1000)*I6))","=IF(G6=0,((VLOOKUP(C6,'Crop List'!$B$4:$L$34,4,FALSE)*(F6/1000)*J6)*2.29),((VLOOKUP(C6,'Crop List'!$B$4:$L$34,4,FALSE)*(G6/1000)*J6)*2.29))","=IF(G6=0,((VLOOKUP(C6,'Crop List'!$B$4:$L$34,7,FALSE)*(F6/1000)*J6)*2.29),(VLOOKUP(C6,'Crop List'!$B$4:$L$34,7,FALSE)*(G6/1000)*J6)*2.29)","=IF(G6=0,(VLOOKUP(C6,'Crop List'!$B$4:$L$34,10,FALSE)*(F6/1000)*J6)*2.29,(VLOOKUP(C6,'Crop List'!$B$4:$L$34,10,FALSE)*(G6/1000)*J6)*2.29)","=IF(G6=0,(VLOOKUP(C6,'Crop List'!$B$4:$L$34,5,FALSE)*(F6/1000)*K6)*1.2,(VLOOKUP(C6,'Crop List'!$B$4:$L$34,5,FALSE)*(G6/1000)*K6)*1.2)","=IF(G6=0,(VLOOKUP(C6,'Crop List'!$B$4:$L$34,8,FALSE)*(F6/1000)*K6)*1.2,(VLOOKUP(C6,'Crop List'!$B$4:$L$34,8,FALSE)*(G6/1000)*K6)*1.2)","=IF(G6=0,(VLOOKUP(C6,'Crop List'!$B$4:$L$34,11,FALSE)*(F6/1000)*K6)*1.2,(VLOOKUP(C6,'Crop List'!$B$4:$L$34,11,FALSE)*(G6/1000)*K6)*1.2)",=O6*0.893
Banana,2,Banana,55928.48,43692.2458333333,30000,"=IF($C$2=C7,$D$2,0)","39,471 to 47.913",4.12823561524184,0.473122975579576,9.57164173672526,0.473122975579576,0.582305200713324,,"=IF(G7=0,(VLOOKUP(C7,'Crop List'!$B$4:$L$34,3,FALSE)*(F7/1000)*I7),(VLOOKUP(C7,'Crop List'!$B$4:$L$34,3,FALSE)*(G7/1000)*I7))","=IF(G7=0,(VLOOKUP(C7,'Crop List'!$B$4:$L$34,9,FALSE)*(F7/1000)*I7),(VLOOKUP(C7,'Crop List'!$B$4:$L$34,9,FALSE)*(G7/1000)*I7))","=IF(G7=0,((VLOOKUP(C7,'Crop List'!$B$4:$L$34,4,FALSE)*(F7/1000)*J7)*2.29),((VLOOKUP(C7,'Crop List'!$B$4:$L$34,4,FALSE)*(G7/1000)*J7)*2.29))","=IF(G7=0,((VLOOKUP(C7,'Crop List'!$B$4:$L$34,7,FALSE)*(F7/1000)*J7)*2.29),(VLOOKUP(C7,'Crop List'!$B$4:$L$34,7,FALSE)*(G7/1000)*J7)*2.29)","=IF(G7=0,(VLOOKUP(C7,'Crop List'!$B$4:$L$34,10,FALSE)*(F7/1000)*J7)*2.29,(VLOOKUP(C7,'Crop List'!$B$4:$L$34,10,FALSE)*(G7/1000)*J7)*2.29)","=IF(G7=0,(VLOOKUP(C7,'Crop List'!$B$4:$L$34,5,FALSE)*(F7/1000)*K7)*1.2,(VLOOKUP(C7,'Crop List'!$B$4:$L$34,5,FALSE)*(G7/1000)*K7)*1.2)","=IF(G7=0,(VLOOKUP(C7,'Crop List'!$B$4:$L$34,8,FALSE)*(F7/1000)*K7)*1.2,(VLOOKUP(C7,'Crop List'!$B$4:$L$34,8,FALSE)*(G7/1000)*K7)*1.2)","=IF(G7=0,(VLOOKUP(C7,'Crop List'!$B$4:$L$34,11,FALSE)*(F7/1000)*K7)*1.2,(VLOOKUP(C7,'Crop List'!$B$4:$L$34,11,FALSE)*(G7/1000)*K7)*1.2)",
Cantaloupe,3,Mango,20196,15189.875,15000,"=IF($C$2=C8,$D$2,0)","11,955 to 18,425",1.23845254519596,0.222426967016472,1.98317659303969,0.472858000127718,0.253532795988083,0.152575836479873,"=IF(G8=0,(VLOOKUP(C8,'Crop List'!$B$4:$L$34,3,FALSE)*(F8/1000)*I8),(VLOOKUP(C8,'Crop List'!$B$4:$L$34,3,FALSE)*(G8/1000)*I8))","=IF(G8=0,(VLOOKUP(C8,'Crop List'!$B$4:$L$34,9,FALSE)*(F8/1000)*I8),(VLOOKUP(C8,'Crop List'!$B$4:$L$34,9,FALSE)*(G8/1000)*I8))","=IF(G8=0,((VLOOKUP(C8,'Crop List'!$B$4:$L$34,4,FALSE)*(F8/1000)*J8)*2.29),((VLOOKUP(C8,'Crop List'!$B$4:$L$34,4,FALSE)*(G8/1000)*J8)*2.29))","=IF(G8=0,((VLOOKUP(C8,'Crop List'!$B$4:$L$34,7,FALSE)*(F8/1000)*J8)*2.29),(VLOOKUP(C8,'Crop List'!$B$4:$L$34,7,FALSE)*(G8/1000)*J8)*2.29)","=IF(G8=0,(VLOOKUP(C8,'Crop List'!$B$4:$L$34,10,FALSE)*(F8/1000)*J8)*2.29,(VLOOKUP(C8,'Crop List'!$B$4:$L$34,10,FALSE)*(G8/1000)*J8)*2.29)","=IF(G8=0,(VLOOKUP(C8,'Crop List'!$B$4:$L$34,5,FALSE)*(F8/1000)*K8)*1.2,(VLOOKUP(C8,'Crop List'!$B$4:$L$34,5,FALSE)*(G8/1000)*K8)*1.2)","=IF(G8=0,(VLOOKUP(C8,'Crop List'!$B$4:$L$34,8,FALSE)*(F8/1000)*K8)*1.2,(VLOOKUP(C8,'Crop List'!$B$4:$L$34,8,FALSE)*(G8/1000)*K8)*1.2)","=IF(G8=0,(VLOOKUP(C8,'Crop List'!$B$4:$L$34,11,FALSE)*(F8/1000)*K8)*1.2,(VLOOKUP(C8,'Crop List'!$B$4:$L$34,11,FALSE)*(G8/1000)*K8)*1.2)",
Coffee,4,Avocado,22713.6,17010.3333333333,12000,"=IF($C$2=C9,$D$2,0)","12,855 to 21,136",2.41656102825705,0.527466930685201,4.11452128514098,0.350838281156185,0.492252345343764,,"=IF(G9=0,(VLOOKUP(C9,'Crop List'!$B$4:$L$34,3,FALSE)*(F9/1000)*I9),(VLOOKUP(C9,'Crop List'!$B$4:$L$34,3,FALSE)*(G9/1000)*I9))","=IF(G9=0,(VLOOKUP(C9,'Crop List'!$B$4:$L$34,9,FALSE)*(F9/1000)*I9),(VLOOKUP(C9,'Crop List'!$B$4:$L$34,9,FALSE)*(G9/1000)*I9))","=IF(G9=0,((VLOOKUP(C9,'Crop List'!$B$4:$L$34,4,FALSE)*(F9/1000)*J9)*2.29),((VLOOKUP(C9,'Crop List'!$B$4:$L$34,4,FALSE)*(G9/1000)*J9)*2.29))","=IF(G9=0,((VLOOKUP(C9,'Crop List'!$B$4:$L$34,7,FALSE)*(F9/1000)*J9)*2.29),(VLOOKUP(C9,'Crop List'!$B$4:$L$34,7,FALSE)*(G9/1000)*J9)*2.29)","=IF(G9=0,(VLOOKUP(C9,'Crop List'!$B$4:$L$34,10,FALSE)*(F9/1000)*J9)*2.29,(VLOOKUP(C9,'Crop List'!$B$4:$L$34,10,FALSE)*(G9/1000)*J9)*2.29)","=IF(G9=0,(VLOOKUP(C9,'Crop List'!$B$4:$L$34,5,FALSE)*(F9/1000)*K9)*1.2,(VLOOKUP(C9,'Crop List'!$B$4:$L$34,5,FALSE)*(G9/1000)*K9)*1.2)","=IF(G9=0,(VLOOKUP(C9,'Crop List'!$B$4:$L$34,8,FALSE)*(F9/1000)*K9)*1.2,(VLOOKUP(C9,'Crop List'!$B$4:$L$34,8,FALSE)*(G9/1000)*K9)*1.2)","=IF(G9=0,(VLOOKUP(C9,'Crop List'!$B$4:$L$34,11,FALSE)*(F9/1000)*K9)*1.2,(VLOOKUP(C9,'Crop List'!$B$4:$L$34,11,FALSE)*(G9/1000)*K9)*1.2)",
Corn,5,Papaya,126371.9,86077.1363636364,90000,"=IF($C$2=C10,$D$2,0)","55,710 to 178,236",1.775,0.275,2.075,0.45,0.25,,"=IF(G10=0,(VLOOKUP(C10,'Crop List'!$B$4:$L$34,3,FALSE)*(F10/1000)*I10),(VLOOKUP(C10,'Crop List'!$B$4:$L$34,3,FALSE)*(G10/1000)*I10))","=IF(G10=0,(VLOOKUP(C10,'Crop List'!$B$4:$L$34,9,FALSE)*(F10/1000)*I10),(VLOOKUP(C10,'Crop List'!$B$4:$L$34,9,FALSE)*(G10/1000)*I10))","=IF(G10=0,((VLOOKUP(C10,'Crop List'!$B$4:$L$34,4,FALSE)*(F10/1000)*J10)*2.29),((VLOOKUP(C10,'Crop List'!$B$4:$L$34,4,FALSE)*(G10/1000)*J10)*2.29))","=IF(G10=0,((VLOOKUP(C10,'Crop List'!$B$4:$L$34,7,FALSE)*(F10/1000)*J10)*2.29),(VLOOKUP(C10,'Crop List'!$B$4:$L$34,7,FALSE)*(G10/1000)*J10)*2.29)","=IF(G10=0,(VLOOKUP(C10,'Crop List'!$B$4:$L$34,10,FALSE)*(F10/1000)*J10)*2.29,(VLOOKUP(C10,'Crop List'!$B$4:$L$34,10,FALSE)*(G10/1000)*J10)*2.29)","=IF(G10=0,(VLOOKUP(C10,'Crop List'!$B$4:$L$34,5,FALSE)*(F10/1000)*K10)*1.2,(VLOOKUP(C10,'Crop List'!$B$4:$L$34,5,FALSE)*(G10/1000)*K10)*1.2)","=IF(G10=0,(VLOOKUP(C10,'Crop List'!$B$4:$L$34,8,FALSE)*(F10/1000)*K10)*1.2,(VLOOKUP(C10,'Crop List'!$B$4:$L$34,8,FALSE)*(G10/1000)*K10)*1.2)","=IF(G10=0,(VLOOKUP(C10,'Crop List'!$B$4:$L$34,11,FALSE)*(F10/1000)*K10)*1.2,(VLOOKUP(C10,'Crop List'!$B$4:$L$34,11,FALSE)*(G10/1000)*K10)*1.2)",
Cotton,6,Onion,34880.8181818182,26738.288030303,30000,"=IF($C$2=C11,$D$2,0)","23,008 to 30,468",2.11234366106109,0.371939578204614,1.74169519633252,0.598110794830288,0.174747680866222,0.396876506690831,"=IF(G11=0,(VLOOKUP(C11,'Crop List'!$B$4:$L$34,3,FALSE)*(F11/1000)*I11),(VLOOKUP(C11,'Crop List'!$B$4:$L$34,3,FALSE)*(G11/1000)*I11))","=IF(G11=0,(VLOOKUP(C11,'Crop List'!$B$4:$L$34,9,FALSE)*(F11/1000)*I11),(VLOOKUP(C11,'Crop List'!$B$4:$L$34,9,FALSE)*(G11/1000)*I11))","=IF(G11=0,((VLOOKUP(C11,'Crop List'!$B$4:$L$34,4,FALSE)*(F11/1000)*J11)*2.29),((VLOOKUP(C11,'Crop List'!$B$4:$L$34,4,FALSE)*(G11/1000)*J11)*2.29))","=IF(G11=0,((VLOOKUP(C11,'Crop List'!$B$4:$L$34,7,FALSE)*(F11/1000)*J11)*2.29),(VLOOKUP(C11,'Crop List'!$B$4:$L$34,7,FALSE)*(G11/1000)*J11)*2.29)","=IF(G11=0,(VLOOKUP(C11,'Crop List'!$B$4:$L$34,10,FALSE)*(F11/1000)*J11)*2.29,(VLOOKUP(C11,'Crop List'!$B$4:$L$34,10,FALSE)*(G11/1000)*J11)*2.29)","=IF(G11=0,(VLOOKUP(C11,'Crop List'!$B$4:$L$34,5,FALSE)*(F11/1000)*K11)*1.2,(VLOOKUP(C11,'Crop List'!$B$4:$L$34,5,FALSE)*(G11/1000)*K11)*1.2)","=IF(G11=0,(VLOOKUP(C11,'Crop List'!$B$4:$L$34,8,FALSE)*(F11/1000)*K11)*1.2,(VLOOKUP(C11,'Crop List'!$B$4:$L$34,8,FALSE)*(G11/1000)*K11)*1.2)","=IF(G11=0,(VLOOKUP(C11,'Crop List'!$B$4:$L$34,11,FALSE)*(F11/1000)*K11)*1.2,(VLOOKUP(C11,'Crop List'!$B$4:$L$34,11,FALSE)*(G11/1000)*K11)*1.2)",
Cucumber,7,Tomato,84468,57830.3032642212,40000,"=IF($C$2=C12,$D$2,0)","49,150 to 66,510",1.56615967455364,0.383458356340106,2.57644899771828,,,,"=IF(G12=0,(VLOOKUP(C12,'Crop List'!$B$4:$L$34,3,FALSE)*(F12/1000)*I12),(VLOOKUP(C12,'Crop List'!$B$4:$L$34,3,FALSE)*(G12/1000)*I12))","=IF(G12=0,(VLOOKUP(C12,'Crop List'!$B$4:$L$34,9,FALSE)*(F12/1000)*I12),(VLOOKUP(C12,'Crop List'!$B$4:$L$34,9,FALSE)*(G12/1000)*I12))","=IF(G12=0,((VLOOKUP(C12,'Crop List'!$B$4:$L$34,4,FALSE)*(F12/1000)*J12)*2.29),((VLOOKUP(C12,'Crop List'!$B$4:$L$34,4,FALSE)*(G12/1000)*J12)*2.29))","=IF(G12=0,((VLOOKUP(C12,'Crop List'!$B$4:$L$34,7,FALSE)*(F12/1000)*J12)*2.29),(VLOOKUP(C12,'Crop List'!$B$4:$L$34,7,FALSE)*(G12/1000)*J12)*2.29)","=IF(G12=0,(VLOOKUP(C12,'Crop List'!$B$4:$L$34,10,FALSE)*(F12/1000)*J12)*2.29,(VLOOKUP(C12,'Crop List'!$B$4:$L$34,10,FALSE)*(G12/1000)*J12)*2.29)","=IF(G12=0,(VLOOKUP(C12,'Crop List'!$B$4:$L$34,5,FALSE)*(F12/1000)*K12)*1.2,(VLOOKUP(C12,'Crop List'!$B$4:$L$34,5,FALSE)*(G12/1000)*K12)*1.2)","=IF(G12=0,(VLOOKUP(C12,'Crop List'!$B$4:$L$34,8,FALSE)*(F12/1000)*K12)*1.2,(VLOOKUP(C12,'Crop List'!$B$4:$L$34,8,FALSE)*(G12/1000)*K12)*1.2)","=IF(G12=0,(VLOOKUP(C12,'Crop List'!$B$4:$L$34,11,FALSE)*(F12/1000)*K12)*1.2,(VLOOKUP(C12,'Crop List'!$B$4:$L$34,11,FALSE)*(G12/1000)*K12)*1.2)",
Eggplant,8,Pepper,39300,33148,25000,"=IF($C$2=C13,$D$2,0)","29,749 to 36,547",1.65160356174126,0.345238460026502,2.49748188677579,0.806284886264536,0.319435390368912,0.268860554684239,"=IF(G13=0,(VLOOKUP(C13,'Crop List'!$B$4:$L$34,3,FALSE)*(F13/1000)*I13),(VLOOKUP(C13,'Crop List'!$B$4:$L$34,3,FALSE)*(G13/1000)*I13))","=IF(G13=0,(VLOOKUP(C13,'Crop List'!$B$4:$L$34,9,FALSE)*(F13/1000)*I13),(VLOOKUP(C13,'Crop List'!$B$4:$L$34,9,FALSE)*(G13/1000)*I13))","=IF(G13=0,((VLOOKUP(C13,'Crop List'!$B$4:$L$34,4,FALSE)*(F13/1000)*J13)*2.29),((VLOOKUP(C13,'Crop List'!$B$4:$L$34,4,FALSE)*(G13/1000)*J13)*2.29))","=IF(G13=0,((VLOOKUP(C13,'Crop List'!$B$4:$L$34,7,FALSE)*(F13/1000)*J13)*2.29),(VLOOKUP(C13,'Crop List'!$B$4:$L$34,7,FALSE)*(G13/1000)*J13)*2.29)","=IF(G13=0,(VLOOKUP(C13,'Crop List'!$B$4:$L$34,10,FALSE)*(F13/1000)*J13)*2.29,(VLOOKUP(C13,'Crop List'!$B$4:$L$34,10,FALSE)*(G13/1000)*J13)*2.29)","=IF(G13=0,(VLOOKUP(C13,'Crop List'!$B$4:$L$34,5,FALSE)*(F13/1000)*K13)*1.2,(VLOOKUP(C13,'Crop List'!$B$4:$L$34,5,FALSE)*(G13/1000)*K13)*1.2)","=IF(G13=0,(VLOOKUP(C13,'Crop List'!$B$4:$L$34,8,FALSE)*(F13/1000)*K13)*1.2,(VLOOKUP(C13,'Crop List'!$B$4:$L$34,8,FALSE)*(G13/1000)*K13)*1.2)","=IF(G13=0,(VLOOKUP(C13,'Crop List'!$B$4:$L$34,11,FALSE)*(F13/1000)*K13)*1.2,(VLOOKUP(C13,'Crop List'!$B$4:$L$34,11,FALSE)*(G13/1000)*K13)*1.2)",
Forages->85d,9,Eggplant,50715,32100,25000,"=IF($C$2=C14,$D$2,0)","26,996 to 37,204",1.76967870654042,0.215191923577368,1.56006805759867,0.07460421375,0.173495191433333,0.16860139845,"=IF(G14=0,(VLOOKUP(C14,'Crop List'!$B$4:$L$34,3,FALSE)*(F14/1000)*I14),(VLOOKUP(C14,'Crop List'!$B$4:$L$34,3,FALSE)*(G14/1000)*I14))","=IF(G14=0,(VLOOKUP(C14,'Crop List'!$B$4:$L$34,9,FALSE)*(F14/1000)*I14),(VLOOKUP(C14,'Crop List'!$B$4:$L$34,9,FALSE)*(G14/1000)*I14))","=IF(G14=0,((VLOOKUP(C14,'Crop List'!$B$4:$L$34,4,FALSE)*(F14/1000)*J14)*2.29),((VLOOKUP(C14,'Crop List'!$B$4:$L$34,4,FALSE)*(G14/1000)*J14)*2.29))","=IF(G14=0,((VLOOKUP(C14,'Crop List'!$B$4:$L$34,7,FALSE)*(F14/1000)*J14)*2.29),(VLOOKUP(C14,'Crop List'!$B$4:$L$34,7,FALSE)*(G14/1000)*J14)*2.29)","=IF(G14=0,(VLOOKUP(C14,'Crop List'!$B$4:$L$34,10,FALSE)*(F14/1000)*J14)*2.29,(VLOOKUP(C14,'Crop List'!$B$4:$L$34,10,FALSE)*(G14/1000)*J14)*2.29)","=IF(G14=0,(VLOOKUP(C14,'Crop List'!$B$4:$L$34,5,FALSE)*(F14/1000)*K14)*1.2,(VLOOKUP(C14,'Crop List'!$B$4:$L$34,5,FALSE)*(G14/1000)*K14)*1.2)","=IF(G14=0,(VLOOKUP(C14,'Crop List'!$B$4:$L$34,8,FALSE)*(F14/1000)*K14)*1.2,(VLOOKUP(C14,'Crop List'!$B$4:$L$34,8,FALSE)*(G14/1000)*K14)*1.2)","=IF(G14=0,(VLOOKUP(C14,'Crop List'!$B$4:$L$34,11,FALSE)*(F14/1000)*K14)*1.2,(VLOOKUP(C14,'Crop List'!$B$4:$L$34,11,FALSE)*(G14/1000)*K14)*1.2)",
Forages-30d,10,Cucumber,51672,38481,27500,"=IF($C$2=C15,$D$2,0)","30,946 to 46,017",1.07749696969697,0.282364653065678,1.20744349008052,0.03705,0.0228,0.18126,"=IF(G15=0,(VLOOKUP(C15,'Crop List'!$B$4:$L$34,3,FALSE)*(F15/1000)*I15),(VLOOKUP(C15,'Crop List'!$B$4:$L$34,3,FALSE)*(G15/1000)*I15))","=IF(G15=0,(VLOOKUP(C15,'Crop List'!$B$4:$L$34,9,FALSE)*(F15/1000)*I15),(VLOOKUP(C15,'Crop List'!$B$4:$L$34,9,FALSE)*(G15/1000)*I15))","=IF(G15=0,((VLOOKUP(C15,'Crop List'!$B$4:$L$34,4,FALSE)*(F15/1000)*J15)*2.29),((VLOOKUP(C15,'Crop List'!$B$4:$L$34,4,FALSE)*(G15/1000)*J15)*2.29))","=IF(G15=0,((VLOOKUP(C15,'Crop List'!$B$4:$L$34,7,FALSE)*(F15/1000)*J15)*2.29),(VLOOKUP(C15,'Crop List'!$B$4:$L$34,7,FALSE)*(G15/1000)*J15)*2.29)","=IF(G15=0,(VLOOKUP(C15,'Crop List'!$B$4:$L$34,10,FALSE)*(F15/1000)*J15)*2.29,(VLOOKUP(C15,'Crop List'!$B$4:$L$34,10,FALSE)*(G15/1000)*J15)*2.29)","=IF(G15=0,(VLOOKUP(C15,'Crop List'!$B$4:$L$34,5,FALSE)*(F15/1000)*K15)*1.2,(VLOOKUP(C15,'Crop List'!$B$4:$L$34,5,FALSE)*(G15/1000)*K15)*1.2)","=IF(G15=0,(VLOOKUP(C15,'Crop List'!$B$4:$L$34,8,FALSE)*(F15/1000)*K15)*1.2,(VLOOKUP(C15,'Crop List'!$B$4:$L$34,8,FALSE)*(G15/1000)*K15)*1.2)","=IF(G15=0,(VLOOKUP(C15,'Crop List'!$B$4:$L$34,11,FALSE)*(F15/1000)*K15)*1.2,(VLOOKUP(C15,'Crop List'!$B$4:$L$34,11,FALSE)*(G15/1000)*K15)*1.2)",
